pk,date,hour,venue_id,venue,home_id,home,away_id,away,home_score,away_score,total,home_sp,away_sp,home_sp_name,away_sp_name,season,home_era,away_era,home_ip,away_ip
777988,2025-05-10,1,15,Chase Field,109,Arizona Diamondbacks,119,Los Angeles Dodgers,11,14,25,593958,808963,Eduardo Rodriguez,Roki Sasaki,2025,6.861,4.718,40.7,34.3
777984,2025-05-10,1,680,T-Mobile Park,136,Seattle Mariners,141,Toronto Blue Jays,3,6,9,622491,592332,Luis Castillo,Kevin Gausman,2025,3.946,3.971,43.3,45.3
777994,2025-05-10,2,2529,Sutter Health Park,133,Athletics,147,New York Yankees,2,10,12,674370,701542,Osvaldo Bido,Will Warren,2025,4.752,4.75,41.7,36.0
777980,2025-05-10,20,3309,Nationals Park,120,Washington Nationals,138,St. Louis Cardinals,2,4,6,592866,669467,Trevor Williams,Andre Pallante,2025,5.858,4.75,35.3,36.0
777985,2025-05-10,20,31,PNC Park,134,Pittsburgh Pirates,144,Atlanta Braves,2,3,5,571760,700363,Andrew Heaney,AJ Smith-Shawver,2025,3.176,3.0,39.7,27.0
777972,2025-05-10,20,2529,Sutter Health Park,133,Athletics,147,New York Yankees,11,7,18,676664,607074,JP Sears,Carlos Rodón,2025,2.925,2.959,40.0,48.7
777981,2025-05-10,20,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,158,Milwaukee Brewers,3,2,5,671737,668964,Taj Bradley,Tobias Myers,2025,4.426,,40.7,12.3
777987,2025-05-10,22,2394,Comerica Park,116,Detroit Tigers,140,Texas Rangers,3,10,13,656427,594798,Jack Flaherty,Jacob deGrom,2025,3.789,2.605,38.0,38.0
777983,2025-05-10,22,5,Progressive Field,114,Cleveland Guardians,143,Philadelphia Phillies,1,7,8,676440,624133,Tanner Bibee,Ranger Suarez,2025,4.263,,38.0,3.7
777979,2025-05-10,23,2392,Daikin Park,117,Houston Astros,113,Cincinnati Reds,9,13,22,621121,663903,Lance McCullers Jr.,Brady Singer,2025,,3.661,3.7,39.3
777977,2025-05-10,23,7,Kauffman Stadium,118,Kansas City Royals,111,Boston Red Sox,1,10,11,666142,676979,Cole Ragans,Garrett Crochet,2025,3.785,2.02,35.7,49.0
777978,2025-05-10,23,4,Rate Field,145,Chicago White Sox,146,Miami Marlins,1,3,4,681343,665795,Shane Smith,Edward Cabrera,2025,2.411,6.288,37.3,24.3
777982,2025-05-10,23,3289,Citi Field,121,New York Mets,112,Chicago Cubs,5,6,11,656731,641745,Tylor Megill,Brad Keller,2025,2.5,,36.0,16.7
777974,2025-05-10,23,3312,Target Field,142,Minnesota Twins,137,San Francisco Giants,2,1,3,657746,657277,Joe Ryan,Logan Webb,2025,2.925,2.607,40.0,48.3
777975,2025-05-11,0,15,Chase Field,109,Arizona Diamondbacks,119,Los Angeles Dodgers,3,0,3,669203,669160,Corbin Burnes,Dustin May,2025,2.95,4.084,39.7,39.7
777976,2025-05-11,0,19,Coors Field,115,Colorado Rockies,135,San Diego Padres,0,21,21,687134,663568,Bradley Blalock,Stephen Kolek,2025,,,16.0,14.3
777973,2025-05-11,1,1,Angel Stadium,108,Los Angeles Angels,110,Baltimore Orioles,5,2,7,686799,502043,Jack Kochanowicz,Kyle Gibson,2025,5.233,,43.0,11.7
777970,2025-05-11,1,680,T-Mobile Park,136,Seattle Mariners,141,Toronto Blue Jays,3,6,9,688138,670102,Logan Evans,Bowden Francis,2025,,5.4,15.0,41.7
777968,2025-05-11,16,3289,Citi Field,121,New York Mets,112,Chicago Cubs,6,2,8,656288,571510,Griffin Canning,Matthew Boyd,2025,2.5,2.746,36.0,39.3
777962,2025-05-11,17,3309,Nationals Park,120,Washington Nationals,138,St. Louis Cardinals,1,6,7,669022,571945,MacKenzie Gore,Miles Mikolas,2025,3.326,4.765,46.0,34.0
777967,2025-05-11,17,31,PNC Park,134,Pittsburgh Pirates,144,Atlanta Braves,4,3,7,669387,519242,Carmen Mlodzinski,Chris Sale,2025,6.163,4.071,30.7,42.0
